first_name;last_name;matriculation_number;language;term;average_grade;username;state;street_name;street_number
Cléopatre;Rein;749000;Bengali;3;2;fhexham0;Florida;Main;376
Miléna;Baish;749001;Burmese;3;3;dweaving1;Alabama;Moland;38526
Cloé;Phillimore;749002;Catalan;11;1;sslott2;Texas;Corben;384
Léa;Cogdon;749003;Tajik;11;2;jstonman3;Texas;Dixon;295
Michèle;Woodrooffe;749004;Danish;8;3;smourgue4;Minnesota;Killdeer;76925
Gaëlle;Linneman;749005;German;5;3;hred5;Oklahoma;Victoria;30
Solène;Dorton;749006;Māori;4;4;tbertram6;Texas;Division;9974
Josée;Vanini;749007;Sotho;3;1;ncoppins7;Tennessee;Roxbury;90
Fèi;Maynell;749008;Thai;1;3;hvinden8;District of Columbia;Surrey;5
Valérie;Fried;749009;Nepali;4;3;opeoples9;Texas;Moulton;261
